2024-09-17 18:41:12,232 Test: [44/100]	Model Time 0.023 (0.030)	Loss Time 0.000 (0.000)	Loss 0.0497 (0.0555)	Prec@1 93.000 (91.689)	Prec@5 100.000 (99.511)	
2024-09-17 18:41:12,258 Test: [45/100]	Model Time 0.023 (0.030)	Loss Time 0.000 (0.000)	Loss 0.0429 (0.0552)	Prec@1 92.000 (91.696)	Prec@5 100.000 (99.522)	
2024-09-17 18:41:12,284 Test: [46/100]	Model Time 0.023 (0.030)	Loss Time 0.000 (0.000)	Loss 0.0435 (0.0550)	Prec@1 94.000 (91.745)	Prec@5 100.000 (99.532)	
2024-09-17 18:41:12,309 Test: [47/100]	Model Time 0.023 (0.030)	Loss Time 0.000 (0.000)	Loss 0.0398 (0.0547)	Prec@1 94.000 (91.792)	Prec@5 100.000 (99.542)	
2024-09-17 18:41:12,335 Test: [48/100]	Model Time 0.023 (0.029)	Loss Time 0.000 (0.000)	Loss 0.0743 (0.0551)	Prec@1 89.000 (91.735)	Prec@5 100.000 (99.551)	
2024-09-17 18:41:12,361 Test: [49/100]	Model Time 0.023 (0.029)	Loss Time 0.000 (0.000)	Loss 0.0569 (0.0551)	Prec@1 93.000 (91.760)	Prec@5 99.000 (99.540)	
2024-09-17 18:41:12,387 Test: [50/100]	Model Time 0.023 (0.029)	Loss Time 0.000 (0.000)	Loss 0.0222 (0.0544)	Prec@1 96.000 (91.843)	Prec@5 99.000 (99.529)	
2024-09-17 18:41:12,408 Test: [51/100]	Model Time 0.019 (0.029)	Loss Time 0.000 (0.000)	Loss 0.0285 (0.0539)	Prec@1 97.000 (91.942)	Prec@5 99.000 (99.519)	
2024-09-17 18:41:12,430 Test: [52/100]	Model Time 0.019 (0.029)	Loss Time 0.000 (0.000)	Loss 0.0168 (0.0532)	Prec@1 98.000 (92.057)	Prec@5 100.000 (99.528)	
2024-09-17 18:41:12,452 Test: [53/100]	Model Time 0.019 (0.029)	Loss Time 0.000 (0.000)	Loss 0.0101 (0.0524)	Prec@1 99.000 (92.185)	Prec@5 100.000 (99.537)	
2024-09-17 18:41:12,476 Test: [54/100]	Model Time 0.021 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0062 (0.0516)	Prec@1 100.000 (92.327)	Prec@5 100.000 (99.545)	
2024-09-17 18:41:12,499 Test: [55/100]	Model Time 0.020 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0091 (0.0508)	Prec@1 100.000 (92.464)	Prec@5 100.000 (99.554)	
2024-09-17 18:41:12,520 Test: [56/100]	Model Time 0.019 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0426 (0.0507)	Prec@1 92.000 (92.456)	Prec@5 100.000 (99.561)	
2024-09-17 18:41:12,542 Test: [57/100]	Model Time 0.019 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0329 (0.0504)	Prec@1 96.000 (92.517)	Prec@5 99.000 (99.552)	
2024-09-17 18:41:12,566 Test: [58/100]	Model Time 0.021 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0342 (0.0501)	Prec@1 94.000 (92.542)	Prec@5 100.000 (99.559)	
2024-09-17 18:41:12,592 Test: [59/100]	Model Time 0.023 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0549 (0.0502)	Prec@1 90.000 (92.500)	Prec@5 99.000 (99.550)	
2024-09-17 18:41:12,617 Test: [60/100]	Model Time 0.023 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0588 (0.0503)	Prec@1 91.000 (92.475)	Prec@5 100.000 (99.557)	
2024-09-17 18:41:12,643 Test: [61/100]	Model Time 0.023 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0359 (0.0501)	Prec@1 95.000 (92.516)	Prec@5 98.000 (99.532)	
2024-09-17 18:41:12,668 Test: [62/100]	Model Time 0.023 (0.028)	Loss Time 0.000 (0.000)	Loss 0.0022 (0.0494)	Prec@1 100.000 (92.635)	Prec@5 100.000 (99.540)	
2024-09-17 18:41:12,693 Test: [63/100]	Model Time 0.023 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0255 (0.0490)	Prec@1 95.000 (92.672)	Prec@5 100.000 (99.547)	
2024-09-17 18:41:12,719 Test: [64/100]	Model Time 0.023 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0212 (0.0486)	Prec@1 95.000 (92.708)	Prec@5 100.000 (99.554)	
2024-09-17 18:41:12,745 Test: [65/100]	Model Time 0.023 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0896 (0.0492)	Prec@1 86.000 (92.606)	Prec@5 100.000 (99.561)	
2024-09-17 18:41:12,771 Test: [66/100]	Model Time 0.023 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0566 (0.0493)	Prec@1 93.000 (92.612)	Prec@5 98.000 (99.537)	
2024-09-17 18:41:12,797 Test: [67/100]	Model Time 0.023 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0406 (0.0492)	Prec@1 95.000 (92.647)	Prec@5 100.000 (99.544)	
2024-09-17 18:41:12,822 Test: [68/100]	Model Time 0.023 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0132 (0.0486)	Prec@1 99.000 (92.739)	Prec@5 100.000 (99.551)	
2024-09-17 18:41:12,847 Test: [69/100]	Model Time 0.023 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0134 (0.0481)	Prec@1 98.000 (92.814)	Prec@5 100.000 (99.557)	
2024-09-17 18:41:12,874 Test: [70/100]	Model Time 0.024 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0077 (0.0476)	Prec@1 99.000 (92.901)	Prec@5 100.000 (99.563)	
2024-09-17 18:41:12,901 Test: [71/100]	Model Time 0.024 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0117 (0.0471)	Prec@1 97.000 (92.958)	Prec@5 100.000 (99.569)	
2024-09-17 18:41:12,929 Test: [72/100]	Model Time 0.024 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0284 (0.0468)	Prec@1 96.000 (93.000)	Prec@5 100.000 (99.575)	
2024-09-17 18:41:12,955 Test: [73/100]	Model Time 0.024 (0.027)	Loss Time 0.000 (0.000)	Loss 0.0087 (0.0463)	Prec@1 99.000 (93.081)	Prec@5 100.000 (99.581)	
